,DL_TinyMLP,ML_RidgeAlpha,EqualWeight_All,BM_KODEX200
2019-02-28,0.025866770670971963,0.0268455678802676,0.0033279399979156,-0.0075794612002126
2019-03-31,-0.018232187775237798,0.0194006175374687,0.0074374037062201,-0.0218714260888667
2019-04-30,0.010174529875367315,0.0419294887896687,0.0517384918573706,0.0280875927857282
2019-05-31,-0.0480065203702392,-0.0334831371719787,-0.053638273238441,-0.0747499214047131
2019-06-30,0.03142563888907726,0.0282447487878467,0.0458855495249077,0.055187019141629
2019-07-31,-0.007935126608901836,0.0110429582887173,0.0108902702207232,-0.0391969105197216
2019-08-31,-0.0077864421615874094,0.0146292561615594,0.0055783034223826,-0.0298084963732128
2019-09-30,0.01896471864813246,0.0163240101891951,0.0220581221522853,0.0600964870419198
2019-10-31,-0.005256457101872669,-0.0145488162076935,0.0201266575636724,0.0109274342638183
2019-11-30,0.028889376703385886,5.922329792991529e-06,0.0223485169315096,0.0014461209216252
2019-12-31,0.033722392094304283,0.0539930992318577,0.0419646714643423,0.0750902631204302
2020-01-31,-0.02266483813947921,0.0106662447371364,0.0293384692987835,-0.0290954461751894
2020-02-29,-0.034431269808010624,-0.0275961035164024,-0.0383144254067303,-0.0580288153420829
2020-03-31,-0.04012759800294757,-0.0900374167153294,-0.0871589540833023,-0.1141963505435016
2020-04-30,0.0762209414630617,0.0892824355683367,0.1169827725081741,0.0899072007850427
2020-05-31,0.0905382705855468,0.0469624365787845,0.061248207652907,0.0369867815535875
2020-06-30,0.08189469100409687,0.1258903358303829,0.0447639022711627,0.0483659945625229
2020-07-31,0.14932675675598775,0.1250459133229513,0.0857038514356563,0.0682093651007418
2020-08-31,0.0693482965018393,0.0721231774334402,0.0842420602045955,0.0272304566450329
2020-09-30,-0.020287103298005364,-0.0132598889730779,-0.0394337482498347,0.0110585729838923
2020-10-31,-0.03575935346789563,-0.0199978812258653,-0.0370453642088614,-0.0288518850200338
2020-11-30,0.0840775406095997,0.0944931677652679,0.1154953865017545,0.1507961829247235
2020-12-31,-0.006781996210035687,0.0599135151479707,0.0499603671338392,0.1388210074918814
2021-01-31,-0.030013892620737226,-0.0375447115260161,0.0347944980369042,0.0423536522833121
2021-02-28,0.042688481325578974,0.0385869242198818,0.0116589517725677,0.0141034296774182
2021-03-31,0.0038603440617029673,0.0061705565574193,0.0352671762582629,0.0115092390262763
2021-04-30,-0.018269964720251143,-0.0026368534130272,0.025551094685919,0.0183263414242147
2021-05-31,0.003100295363894596,0.0681896568594761,0.0249991561064329,0.0109944607230929
2021-06-30,0.039681227665557706,0.0786137457184814,0.0478914511025791,0.0265435127985023
2021-07-31,-0.0028690608462729507,0.0030513301694998,0.0104857100866559,-0.0308826591844452
2021-08-31,0.03316503544538713,0.0159920652580288,0.0260744293980898,-0.0117688032199109
2021-09-30,-0.013083232080229705,-0.0363601776972368,-0.0274432157616391,-0.0426342881882266
2021-10-31,-0.05043214703814793,-0.0335514460895732,0.0283757411982726,-0.0320089816368048
2021-11-30,-0.013823292136720901,-0.043828757908536,0.0023040043163664,-0.0359304591818058
2021-12-31,0.036292419704549224,0.0346116490965348,0.0377549926699689,0.0651881549029131
2022-01-31,-0.05183473374153729,-0.0888528614386519,-0.0614360393091458,-0.0893009148826697
2022-02-28,0.04834208608142988,0.0322280860615736,-0.0073483423865795,0.0097931627067535
2022-03-31,0.026296981425343854,0.0319090059595918,0.0438415817508984,0.0129765671519808
2022-04-30,-0.06770292897224266,0.0092984366706353,-0.0298081587704516,-0.0285179545560113
2022-05-31,-0.03898444712656948,-0.0197219601057813,-0.0132042285076356,-0.0019712598266382
2022-06-30,-0.06503298241539396,-0.0364049085132029,-0.0501008359134352,-0.1288092434562271
2022-07-31,0.07001560750884994,0.0670106878057797,0.0713063315139815,0.0489069260244408
2022-08-31,-0.0041470462213522505,0.0157363871866092,0.0082677442780906,-0.0047863412868703
2022-09-30,-0.07033294379451255,-0.0327915212956131,-0.0717956497694359,-0.1227116992152306
2022-10-31,-0.012539534707668405,0.0122658955851752,0.0400148459526103,0.06656358720116
2022-11-30,0.014810358617070592,-0.0043779349331209,0.0220282803320636,0.070415547124031
2022-12-31,-0.1295491027362485,-0.0612735126206372,-0.0944379266875426,-0.0773187308876534
2023-01-31,0.05127882932656895,0.037381533644984,0.0917296803118754,0.0889565315052804
2023-02-28,0.04134248600595352,0.0725521338442906,0.040839494968818,-0.0077747601160241
2023-03-31,0.02926641243764718,0.0160399360292014,0.0383805079710968,0.0246042166014659
2023-04-30,0.019001564838855085,0.0173491275752306,0.0353349766313424,0.0116979085127739
2023-05-31,0.013989617022667263,0.0104103653496972,0.0419927176295761,0.041225915803456
2023-06-30,0.013808195711498293,0.0197981051137118,0.0411863148185216,-0.0002943728393933
2023-07-31,0.0344173795198813,0.014692861481383,0.0076748300460964,0.0153121377075677
2023-08-31,-0.018352006381171262,0.0079432802281627,0.0085910195810546,-0.0262471715856226
2023-09-30,-0.032569138260074924,-0.0358193532905835,-0.0327033717462012,-0.0208487088493514
2023-10-31,-0.06406146362953388,-0.0456756470221954,-0.0433477368804154,-0.064363680320556
2023-11-30,0.05731812473091445,0.0562536820506337,0.0722477762217857,0.1074689739349976
2023-12-31,0.0596187295329407,0.043171122728662,0.0518480851370057,0.0652335833203912
2024-01-31,-0.020107822943353625,-0.0584384819632013,0.0167218337574195,-0.0620854199890881
2024-02-29,0.038791146308321874,0.0445867489438597,0.0716730327484025,0.0592668687326891
2024-03-31,0.004176903514496505,0.0428369256724527,0.0469549680961945,0.0590205910447938
2024-04-30,-0.0026385003592717515,-0.0031318244749569,-0.003641335603065,-0.0225059194011746
2024-05-31,-0.06433451358541875,-0.0057785657401239,0.0141971212653092,-0.0174625786508275
2024-06-30,0.05027746385294741,0.0276809201802735,0.0520061669311048,0.07039722103488
2024-07-31,0.01040785672266352,-0.0054827247432936,0.0170181109861852,-0.0069846250069416
2024-08-31,-0.03430672002638891,-0.0328398557066982,-0.0092173713806977,-0.0478688473292352
2024-09-30,0.033439581942270556,-0.0049458851588646,-0.0040926652924474,-0.0435261871934046
2024-10-31,0.012299920174815595,-0.000566436008308,0.0195656336964863,-0.0149113895132843
2024-11-30,0.042347918147084745,-0.0460707393888779,0.0299070673197444,-0.0423940275987759
2024-12-31,0.007819465170121366,0.0089540819545269,0.0274958894875852,-0.0177695595102396
2025-01-31,0.034297160624405916,0.0692256762007885,0.0393212323526181,0.0466179930328962
2025-02-28,0.016656378876439882,0.0227086348049191,0.0040946302929019,0.0100164094229122
2025-03-31,-0.020913453974474777,-0.0262316235485141,-0.0317999144620896,0.0025162013572626
2025-04-30,0.011996418396232913,-0.0093367765021374,0.0098152884282747,0.0147966355162283
2025-05-31,0.02622203096815199,0.0185230704409308,0.03119422108347,0.0649771193625807
2025-06-30,0.06288587736288431,0.0483988470238884,0.0768744428119466,0.1538462800614972
2025-07-31,0.03988701178876727,0.0450145990452415,0.0708919058978004,0.0576039998748616
2025-08-31,-0.003987144708804601,0.0021194519628077,-0.001180112850777,-0.0165054433703395
2025-09-30,0.03718467023623815,0.0416676324492224,0.0623479112676116,0.1026620738105303
2025-10-31,0.08224022315268958,0.0642573331426767,0.1272737230511958,0.2236213086694132
2025-11-30,-0.01325902115733457,0.0163745143820731,-0.0050264396300793,-0.0429099484383221
2025-12-31,0.03143114006905284,-0.0083039138418936,0.0042939256982079,0.094249833449872
2026-01-31,0.17247229873124928,0.0868222001425546,0.1025667030628873,0.2708148472465774
2026-02-28,0.02976940497018774,0.0196595484842164,0.0548044838644133,0.2175149968810954
2026-03-31,0.011788274163996915,0.0136505487809003,-0.0624219261828304,-0.1985762550314732
2026-04-30,0.05092782324018326,0.0547025172561695,0.1359587735902497,0.3303651850269
2026-05-31,-0.04517662334843735,0.0485739839957294,0.0714147016714712,0.3494319603623441
