,ETF_Only_Core,Regime_Overlay,BM_KODEX200
2019-02-28,0.011153156964667342,0.010872679648105132,-0.007579461200212689
2019-03-31,0.012407208871008886,0.010729112170460697,-0.02187142608886672
2019-04-30,0.024018306080929714,0.023588591199359216,0.028087592785728255
2019-05-31,-0.009847095128959952,-0.014307611263222724,-0.07474992140471315
2019-06-30,0.013406975072768789,0.015963675901703236,0.055187019141629046
2019-07-31,0.013693701351341379,0.013416068318844832,-0.03919691051972163
2019-08-31,0.0128216511033487,0.012781973916685993,-0.02980849637321281
2019-09-30,0.0028457824245488625,0.0012869101466124553,0.06009648704191983
2019-10-31,-0.0027146146081753215,-0.0028517402778309334,0.01092743426381837
2019-11-30,0.013833529586885857,0.013833529586885857,0.0014461209216252158
2019-12-31,0.0074171216374968405,0.008986301725132723,0.07509026312043021
2020-01-31,0.022501436523057017,0.02139915216762009,-0.029095446175189443
2020-02-29,-0.013722077065768903,-0.01378649314421924,-0.05802881534208293
2020-03-31,-0.034502289858697556,-0.034502289858697556,-0.11419635054350163
2020-04-30,0.04576633161265068,0.048280824083659704,0.08990720078504277
2020-05-31,0.034884015044918525,0.036073622706526656,0.03698678155358759
2020-06-30,0.0032613060184397843,0.003929658512903066,0.048365994562522996
2020-07-31,0.03149268931078385,0.035409673121552944,0.06820936510074183
2020-08-31,0.017662003378053917,0.017531932032655267,0.027230456645032985
2020-09-30,-0.023604940075288572,-0.023604940075288572,0.011058572983892345
2020-10-31,-0.033907545175218295,-0.033907545175218295,-0.028851885020033885
2020-11-30,0.03978907706271909,0.03978907706271909,0.15079618292472352
2020-12-31,0.02608407953790674,0.029033555882002206,0.13882100749188142
2021-01-31,0.01375358793219662,0.014653518974990412,0.042353652283312115
2021-02-28,0.003289731959216617,0.0032543247735487314,0.014103429677418289
2021-03-31,0.019733404194744557,0.019733404194744557,0.011509239026276319
2021-04-30,0.008091376126914527,0.009457223294225903,0.018326341424214743
2021-05-31,0.010887620789566963,0.010338642264556764,0.010994460723092958
2021-06-30,0.01809327504891718,0.020146348675073734,0.02654351279850231
2021-07-31,0.015348440729238187,0.015122900036613755,-0.030882659184445216
2021-08-31,0.0224253495786809,0.023991837776668853,-0.011768803219910917
2021-09-30,-0.012702512558994615,-0.013914278309048414,-0.04263428818822668
2021-10-31,0.006331509984730824,0.0062578319081931805,-0.03200898163680488
2021-11-30,0.014132819883978222,0.014132819883978222,-0.03593045918180582
2021-12-31,0.019500536339290934,0.01981938464087968,0.06518815490291319
2022-01-31,-0.035601965200381516,-0.03569959455701896,-0.08930091488266978
2022-02-28,-0.002817488217570524,-0.002817488217570524,0.009793162706753566
2022-03-31,0.02174169578942483,0.024041172704349034,0.012976567151980811
2022-04-30,-0.011101201182518717,-0.011210232090878616,-0.02851795455601136
2022-05-31,-0.021039256646512003,-0.024167436240380282,-0.001971259826638261
2022-06-30,-0.01918506944777186,-0.018109370531688866,-0.12880924345622713
2022-07-31,0.03263342713564006,0.029651703404647834,0.0489069260244408
2022-08-31,0.0035698767646459404,0.0040547155343850245,-0.004786341286870388
2022-09-30,-0.01709369426016172,-0.016551425330389998,-0.12271169921523062
2022-10-31,0.02348959754534301,0.023339788841290156,0.06656358720116007
2022-11-30,-0.010704286630732618,-0.009811883034964775,0.07041554712403109
2022-12-31,-0.04933657209346196,-0.04841702365557678,-0.0773187308876534
2023-01-31,0.03120611820392098,0.032198691643004186,0.08895653150528049
2023-02-28,0.031023310624331488,0.030532361416044623,-0.007774760116024182
2023-03-31,0.02371094384890813,0.023605909232247924,0.024604216601465945
2023-04-30,0.02633116779426369,0.02653469551256002,0.011697908512773969
2023-05-31,-0.0007983727609594624,-0.0008243486343741937,0.041225915803456026
2023-06-30,0.01728585593177236,0.01728585593177236,-0.00029437283939337533
2023-07-31,-0.00046886374738338166,-0.00046886374738338166,0.015312137707567786
2023-08-31,0.01740395312889701,0.01702678965349214,-0.02624717158562262
2023-09-30,-0.020001300495584705,-0.02162871674019023,-0.020848708849351416
2023-10-31,-0.016327385625271643,-0.016384816956227576,-0.06436368032055606
2023-11-30,0.024850752416351388,0.022659820619875086,0.10746897393499766
2023-12-31,0.03907116928727454,0.03894179174610778,0.0652335833203912
2024-01-31,0.024971638594372788,0.025736583868203135,-0.06208541998908812
2024-02-29,0.019033640847176375,0.01897699223970101,0.05926686873268916
2024-03-31,0.05018967429778473,0.050195698435005404,0.059020591044793846
2024-04-30,-0.00700435917481747,-0.007031595455696558,-0.022505919401174634
2024-05-31,0.014785149038363475,0.015123299255201818,-0.017462578650827565
2024-06-30,0.025223228934844997,0.026735314389499748,0.07039722103488
2024-07-31,0.019300105621957674,0.019176272108533017,-0.006984625006941636
2024-08-31,-0.016823487689296927,-0.017474659677158853,-0.04786884732923524
2024-09-30,0.0010994140883372246,8.949186747569344e-05,-0.04352618719340462
2024-10-31,0.048155248600789784,0.048071797580878615,-0.014911389513284301
2024-11-30,0.022950352985574515,0.01734658498994252,-0.042394027598775974
2024-12-31,0.019514247503241124,0.01938599241726456,-0.01776955951023962
2025-01-31,0.012151655225716968,0.01577797011455769,0.046617993032896266
2025-02-28,0.005645568578613925,0.0055334470882746,0.010016409422912265
2025-03-31,-0.00992181143004414,0.0002599273421496022,0.002516201357262604
2025-04-30,-0.019986381924072406,-0.01601407903252093,0.01479663551622834
2025-05-31,-0.0030894884609782756,-0.005150588198236371,0.06497711936258077
2025-06-30,0.026023449065574925,0.02489483177364148,0.15384628006149725
2025-07-31,0.032176447417881004,0.034006343124820565,0.057603999874861644
2025-08-31,0.013703842224885153,0.013863918561767484,-0.016505443370339545
2025-09-30,0.04887484461436078,0.04682297131974426,0.10266207381053039
2025-10-31,0.0362972066200382,0.03871288836283866,0.2236213086694132
2025-11-30,0.025923588046254244,0.02607871222982559,-0.04290994843832219
2025-12-31,-0.006249022846831762,-0.0062994955757494486,0.09424983344987203
2026-01-31,0.04935653142311489,0.05121426697198268,0.27081484724657745
2026-02-28,0.02366815583928109,0.024478005569579638,0.21751499688109543
2026-03-31,-0.003278387925825048,-0.0033067991446576513,-0.19857625503147325
2026-04-30,0.04465085996929133,0.03438546858877207,0.33036518502690004
2026-05-31,0.04596512912020798,0.05018498980611766,0.34943196036234414
